year,month,wateruse,elecuse,,,,,,,,,,,
2007,1,2866.392607,0.776622505,,,,,,,,,,,
2007,2,2661.491843,0.622604047,,,,,,,,,,,
2007,3,3027.191295,0.66870727,,,,,,,,,,,
2007,4,3258.143744,0.583766394,,,,,,,,,,,
2007,5,4396.979812,0.584965614,,,,,,,,,,,
2007,6,6810.724133,0.575433509,,,,,,,,,,,
2007,7,8596.682465,0.692217305,,,,,,,,,,,
2007,8,6775.806624,0.738351078,,,,,,,,,,,
2007,9,6894.972394,0.620315085,,,,,,,,,,,
2007,10,4929.820042,0.602055832,,,,,,,,,,,
2007,11,2872.020801,0.57822575,,,,,,,,,,,
2007,12,2674.571172,0.725445466,,,,,,,,,,,
2008,1,2712.239467,0.7829429,,,,,,,,,,,
2008,2,2506.434873,0.683303728,,,,,,,,,,,
2008,3,2694.894237,0.656422055,,,,,,,,,,,
2008,4,3819.618339,0.585475041,,,,,,,,,,,
2008,5,6901.836258,0.570639887,,,,,,,,,,,
2008,6,8531.528149,0.58973681,,,,,,,,,,,
2008,7,9460.811132,0.71044816,,,,,,,,,,,
2008,8,6986.40981,0.680608775,,,,,,,,,,,
2008,9,6478.047204,0.55217798,,,,,,,,,,,
2008,10,4470.871148,0.587501675,,,,,,,,,,,
2008,11,2939.423776,0.538989717,,,,,,,,,,,
2008,12,2816.922133,0.742591584,,,,,,,,,,,
2009,1,2921.932274,0.714108648,,,,,,,,,,,
2009,2,2660.823795,0.606087801,,,,,,,,,,,
2009,3,3239.460235,0.64579821,,,,,,,,,,,
2009,4,3440.84829,0.600473217,,,,,,,,,,,
2009,5,5924.196214,0.570991624,,,,,,,,,,,
2009,6,6120.425455,0.559141101,,,,,,,,,,,
2009,7,6399.112763,0.664124149,,,,,,,,,,,
2009,8,6670.130619,0.651725161,,,,,,,,,,,
2009,9,5290.873724,0.571566372,,,,,,,,,,,
2009,10,3466.845395,0.609888616,,,,,,,,,,,
2009,11,2743.321159,0.609084066,,,,,,,,,,,
2009,12,2850.023251,0.788301738,,,,,,,,,,,
2010,1,2814.35255,0.765026846,,,,,,,,,,,
2010,2,2511.187619,0.62751913,,,,,,,,,,,
2010,3,2774.527291,0.725604854,,,,,,,,,,,
2010,4,3359.309335,0.595105235,,,,,,,,,,,
2010,5,5789.217795,0.589368194,,,,,,,,,,,
2010,6,8342.571024,0.647859444,,,,,,,,,,,
2010,7,7781.02875,0.738231704,,,,,,,,,,,
2010,8,6457.433779,0.712437385,,,,,,,,,,,
2010,9,7645.270941,0.614984339,,,,,,,,,,,
2010,10,5021.176681,0.57823777,,,,,,,,,,,
2010,11,2839.633578,0.610809256,,,,,,,,,,,
2010,12,2857.408891,0.739686882,,,,,,,,,,,
2011,1,2867.252773,0.763144048,,,,,,,,,,,
2011,2,2698.904707,0.665938002,,,,,,,,,,,
2011,3,3150.801985,0.665059917,,,,,,,,,,,
2011,4,4119.67008,0.562200609,,,,,,,,,,,
2011,5,6023.628373,0.583596539,,,,,,,,,,,
2011,6,8588.661525,0.628435886,,,,,,,,,,,
2011,7,7485.865111,0.769003534,,,,,,,,,,,
2011,8,7123.896684,0.751417684,,,,,,,,,,,
2011,9,5911.568799,0.574953517,,,,,,,,,,,
2011,10,4362.01864,0.590427697,,,,,,,,,,,
2011,11,2846.676462,0.620112321,,,,,,,,,,,
2011,12,2979.316714,0.758652979,,,,,,,,,,,
2012,1,2902.065491,0.739858817,,,,,,,,,,,
2012,2,2572.329282,0.64668617,,,,,,,,,,,
2012,3,3630.24423,0.624666617,,,,,,,,,,,
2012,4,5014.644657,0.551891685,,,,,,,,,,,
2012,5,6925.783373,0.575995561,,,,,,,,,,,
2012,6,8571.329393,0.650702604,,,,,,,,,,,
2012,7,8466.99385,0.822205818,,,,,,,,,,,
2012,8,8121.252874,0.755525686,,,,,,,,,,,
2012,9,6421.804559,0.571296731,,,,,,,,,,,
2012,10,4000.881998,0.591514022,,,,,,,,,,,
2012,11,3037.609349,0.573593966,,,,,,,,,,,
2012,12,2905.023676,0.712147224,,,,,,,,,,,
2013,1,2926.551847,0.780791296,,,,,,,,,,,
2013,2,2547.45214,0.629939901,,,,,,,,,,,
2013,3,2951.704068,0.675864995,,,,,,,,,,,
2013,4,3202.173994,0.621845931,,,,,,,,,,,
2013,5,4880.294989,0.6085021,,,,,,,,,,,
2013,6,6435.392565,0.640185862,,,,,,,,,,,
2013,7,5745.299104,0.721242412,,,,,,,,,,,
2013,8,5129.295646,0.709274133,,,,,,,,,,,
2013,9,4587.812274,0.623868332,,,,,,,,,,,
2013,10,3420.667131,0.601446278,,,,,,,,,,,
2013,11,2648.709423,0.59956335,,,,,,,,,,,
2013,12,2770.152232,0.767136639,,,,,,,,,,,
2014,1,2672.040886,0.751019627,,,,,,,,,,,
2014,2,2470.240213,0.648913924,,,,,,,,,,,
2014,3,2740.950244,0.65457736,,,,,,,,,,,
2014,4,3245.356958,0.594784197,,,,,,,,,,,
2014,5,5403.675573,0.571548402,,,,,,,,,,,
2014,6,6511.894964,0.592104782,,,,,,,,,,,
2014,7,6353.609096,0.68337427,,,,,,,,,,,
2014,8,5436.995007,0.65687764,,,,,,,,,,,
2014,9,5683.454462,0.591681142,,,,,,,,,,,
2014,10,4130.47892,0.573158473,,,,,,,,,,,
2014,11,2674.780756,0.585702541,,,,,,,,,,,
2014,12,2654.667275,0.761911134,,,,,,,,,,,
2015,1,2706.486832,0.749329446,,,,,,,,,,,
2015,2,2452.698499,0.606788206,,,,,,,,,,,
2015,3,2749.912128,0.66082529,,,,,,,,,,,
2015,4,3553.960149,0.588897615,,,,,,,,,,,
2015,5,3428.236157,0.556644382,,,,,,,,,,,
2015,6,4672.612875,0.622404263,,,,,,,,,,,
2015,7,5583.46123,0.690917992,,,,,,,,,,,
2015,8,6361.071147,0.6962595,,,,,,,,,,,
2015,9,6344.522771,0.624746877,,,,,,,,,,,
2015,10,4250.865078,0.585378521,,,,,,,,,,,
2015,11,2832.647456,0.591459845,,,,,,,,,,,
2015,12,2836.415596,0.752689892,,,,,,,,,,,
2016,1,2785.886288,0.740788799,,,,,,,,,,,
2016,2,2585.074588,0.62640808,,,,,,,,,,,
2016,3,2771.71756,0.652887567,,,,,,,,,,,
2016,4,3016.463232,0.587867689,,,,,,,,,,,
2016,5,4525.841009,0.591561371,,,,,,,,,,,
2016,6,6057.513246,0.631155207,,,,,,,,,,,
2016,7,7053.618484,0.754677332,,,,,,,,,,,
2016,8,6252.821192,0.707804929,,,,,,,,,,,
2016,9,5941.032767,0.588159111,,,,,,,,,,,
2016,10,4757.223541,0.566300565,,,,,,,,,,,
2016,11,3085.514495,0.591884333,,,,,,,,,,,
2016,12,2831.411786,0.755741651,,,,,,,,,,,
2017,1,2839.375965,0.75951933,,,,,,,,,,,
2017,2,2644.111682,0.591191942,,,,,,,,,,,
2017,3,3342.293762,0.653923909,,,,,,,,,,,
2017,4,3567.936758,0.541432187,,,,,,,,,,,
2017,5,4609.975745,0.574811402,,,,,,,,,,,
2017,6,7096.163964,0.636442704,,,,,,,,,,,
2017,7,6559.0622,0.73172058,,,,,,,,,,,
2017,8,5379.45338,0.649259678,,,,,,,,,,,
2017,9,6147.415899,0.614754226,,,,,,,,,,,
2017,10,3620.841347,0.540303392,,,,,,,,,,,
2017,11,2871.368035,0.612331577,,,,,,,,,,,
2017,12,2876.293251,0.769778722,,,,,,,,,,,
2018,1,2909.942343,0.656406854,,,,,,,,,,,
2018,2,2593.527795,0.617599466,,,,,,,,,,,
2018,3,3174.212042,0.640181081,,,,,,,,,,,
2018,4,3768.982057,0.522447307,,,,,,,,,,,
2018,5,6384.14718,0.556044799,,,,,,,,,,,
2018,6,7540.311013,0.724925547,,,,,,,,,,,
2018,7,6557.117002,0.741897694,,,,,,,,,,,
2018,8,5856.083711,0.68140756,,,,,,,,,,,
2018,9,6177.264104,0.606842785,,,,,,,,,,,
2018,10,3676.509821,0.556675314,,,,,,,,,,,
2018,11,2918.358436,0.652511296,,,,,,,,,,,
2018,12,2850.407487,0.712014555,,,,,,,,,,,