year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1307744.0,1048531,738.2880000000001,246180
2007,2,1595277.0,1050113,682.5190000000001,246180
2007,3,1227643.0,1051685,801.3789999999999,246180
2007,4,980899.0,1053084,849.074,246180
2007,5,956464.0,1055320,966.5440000000002,246180
2007,6,1190603.0,1057396,997.1020000000002,246180
2007,7,1422892.0,1059111,1047.597,246180
2007,8,1540429.0,1061442,1141.2330000000004,246180
2007,9,1504283.0,1063520,1013.3850000000002,246180
2007,10,1078161.0,1065950,810.2168,246180
2007,11,989026.499,1067735,656.5076,246180
2007,12,1217599.697,1069169,601.527,246180
2008,1,1472299.53,1071043,552.735,246180
2008,2,1487107.748,1072628,561.224,246180
2008,3,1110939.919,1073792,613.3069999999999,246180
2008,4,999370.259,1075622,678.271,246180
2008,5,901706.314,1077071,719.571,246180
2008,6,1232676.338,1078644,858.1100000000001,246180
2008,7,1505716.151,1080546,820.5519999999999,246180
2008,8,1486892.596,1082026,861.3159999999998,246180
2008,9,1317736.378,1083172,775.298,246180
2008,10,928570.316,1084864,794.6529999999999,246180
2008,11,961427.412,1085966,729.528,246180
2008,12,1428395.115,1087039,704.836,246180
2009,1,1563915.641,1087756,742.4949999999999,246180
2009,2,1552909.967,1088760,687.8750999999999,246180
2009,3,1372266.743,1089501,809.5250000000001,246180
2009,4,1005008.324,1090602,800.291,246180
2009,5,918376.528,1091284,873.2889999999999,246180
2009,6,1225909.823,1092260,921.976,246180
2009,7,1487253.162,1093522,926.524,246180
2009,8,1459848.978,1094489,913.6881000000001,246180
2009,9,1261594.053,1095481,820.6940000000002,246180
2009,10,951844.989,1096353,765.3969999999997,246180
2009,11,886290.513,1097329,650.3389999999999,246180
2009,12,1268421.02,1098279,611.8530000000001,246180
2010,1,1959371.426,1098742,637.1179999999999,246180
2010,2,1608261.85,1099377,527.022,246180
2010,3,1545761.62,1099978,675.4980000000002,246180
2010,4,1002342.522,1100478,729.2549999999998,246180
2010,5,908415.738,1101030,675.4980000000002,246180
2010,6,1336755.985,1101870,849.5029999999999,246180
2010,7,1696012.079,1102559,936.9730000000002,246180
2010,8,1668866.518,1103241,879.659,246180
2010,9,1450071.145,1103946,935.108,246180
2010,10,1012159.326,1104424,792.1910000000001,246180
2010,11,914059.003,1104883,768.9510000000001,246180
2010,12,1576767.847,1105466,633.055,246180
2011,1,2027639.528,1085578,586.01,251103
2011,2,1233161.899,1085861,573.7500000000001,251103
2011,3,1116677.764,1085748,646.9900000000001,251103
2011,4,931433.483,1085629,754.97,251103
2011,5,953502.953,1085501,860.1,251103
2011,6,1563294.811,1085594,999.1999999999999,251103
2011,7,1736868.615,1085917,1055.429,251103
2011,8,1566974.568,1086109,1009.081,251103
2011,9,1141813.116,1109190,909.0,251103
2011,10,871407.538,1086429,946.5010000000002,251103
2011,11,1040284.623,1086646,855.9799999999999,251103
2012,1,1539420.845,1091153,861.0799999999997,258636
2012,2,1211574.964,1092100,779.2149999999999,258636
2012,3,1061818.316,1092780,867.0610000000001,258636
2012,4,814803.414,1093108,787.85,258636
2012,5,1101166.781,1093461,881.8850000000001,258636
2012,6,1243583.674,1093874,898.1500000000001,258636
2012,7,1690054.77,1094271,1006.9499999999998,258636
2012,8,1447788.878,1094726,988.3409999999998,258636
2012,9,1103996.711,1095143,882.0280000000001,258636
2012,10,846734.538,1095453,858.0279999999999,258636
2012,11,1245008.391,1095849,793.2800000000002,258636
2012,12,1400534.424,1096257,766.703,258636
2013,1,1556987.779,1101173,774.9639999999999,262725
2013,2,1334464.536,1102738,679.9,262725
2013,3,1485822.052,1104232,720.9770998200001,262725
2013,4,1019212.123,1104314,781.9823999999998,262725
2013,5,907231.758,1105405,854.4399,262725
2013,6,1298562.127,1106442,834.4078999999999,262725
2013,7,1479218.486,1107249,884.1358000000001,262725
2013,8,1395813.486,1108795,954.0105000000002,262725
2013,9,1138689.173,1109307,896.1301000000001,262725
2013,10,883144.006,1110482,851.5367000000001,262725
2013,11,1110359.868,1113089,756.3479999999997,262725
2013,12,1639890.317,1114281,741.15,262725
2014,1,1939275.937,1115965,727.91706,265472
2014,2,1412556.085,1116373,654.4950380000001,265472
2014,3,1476576.31,1116741,772.0509999999999,265472
2014,4,946372.839,1116941,741.63465,265472
2014,5,1138393.089,1118529,870.2700000000001,265472
2014,6,1355538.061,1119446,900.9799999999999,265472
2014,7,1485479.323,1121269,946.4340000000002,265472
2014,8,1386913.432,1123954,880.3000000000001,265472
2014,9,1163725.861,1125240,888.6099999999999,265472
2014,10,892392.349,1126775,841.1599999999997,265472
2014,11,1240602.194,1129139,755.3400000000001,265472
2014,12,1583385.403,1130323,753.4800000000002,265472
2015,1,1742490.471,1132095,772.2500000000002,270844
2015,2,1772344.329,1134423,731.8699999999999,270844
2015,3,1275077.739,1133706,812.5199999999998,270844
2015,4,878445.404,1134551,793.5400000000001,270844
2015,5,1104596.944,1136065,906.44,270844
2015,6,1513227.144,1137649,961.0700000000002,270844
2015,7,1645464.783,1139355,939.5099999999999,270844
2015,8,1318108.925,1140615,977.1000000000003,270844
2015,9,1251146.637,1141745,802.0399999999998,270844
2015,10,893560.792,1143352,753.7059999999998,270844
2015,11,979905.795,1144891,668.03,270844
2015,12,1179280.615,1146432,620.5000000000001,270844
2016,1,1809391.646,1148693,678.21,270000
2016,2,1412110.673,1149943,639.4899999999999,270000
2016,3,1090223.072,1150460,741.73,270000
2016,4,898554.878,1151958,763.8,270000
2016,5,1045364.266,1152777,747.2300000000001,270000
2016,6,1409012.963,1154276,842.1500000000002,270000
2016,7,1712863.015,1156816,907.85,270000
2016,8,1665373.009,1157825,978.8491,270000
2016,9,1294405.623,1159423,925.7015000000001,270000
2016,10,803269.235,1160312,873.1291,270000
2016,11,1092280.356,1160081,822.5509000000001,270000
2016,12,1552207.309,1162473,765.4244,270000
2017,1,1446447.898,1164468,780.2100000000003,275000
2017,2,1119067.574,1166097,770.8348,275000
2017,3,1219385.525,1167926,831.3893999999999,275000
2017,4,887091.944,1169564,794.1137000000001,275000
2017,5,1151127.938,1170863,828.53,275000
2017,6,1400654.808,1172477,840.3675000000001,275000
2017,7,1646446.234,1174259,914.547,275000
2017,8,1491447.375,1176003,938.1887,275000
2017,9,1155449.841,1177575,836.1606,275000
2017,10,978033.446,1179352,715.0400000000001,275000
2017,11,1214860.432,1181702,610.64,275000
2017,12,1608231.897,1183832,628.97,275000
2018,1,1926951.053,1185236,654.0100000000001,280000
2018,2,1291493.664,1186302,640.7799999999997,280000
2018,3,1284062.353,1188454,714.2099999999999,280000
2018,4,962730.772,1189394,671.3059999999999,280000
2018,5,1259941.251,1191245,737.4099999999999,280000
2018,6,1469038.257,1193910,746.7900000000001,280000
2018,7,1587767.336,1195268,840.9361000000001,280000
2018,8,1593133.753,1197544,927.0307,280000
2018,9,1337200.817,1199067,847.293,280000
2018,10,1027502.298,1199294,846.3000000000001,280000
2018,11,1286082.495,1200734,726.8018,280000
2018,12,1509719.881,1203058,701.1200000000001,280000
